id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants 
4880162,put,"HashMap<Class<?>,OObjectSerializerContext>",(Ljava/lang/Class;Lcom/orientechnologies/orient/object/serialization/OObjectSerializerContext;)Lcom/orientechnologies/orient/object/serialization/OObjectSerializerContext;,OObjectSerializerContext,2,0
4880162,put,"Map<OHashToken,OClientSessions>",(Lcom/orientechnologies/orient/server/OHashToken;Lcom/orientechnologies/orient/server/OClientSessions;)Lcom/orientechnologies/orient/server/OClientSessions;,OClientSessions,2,0
4880162,put,"Map<Integer,OClientConnection>",(Ljava/lang/Integer;Lcom/orientechnologies/orient/server/OClientConnection;)Lcom/orientechnologies/orient/server/OClientConnection;,OClientConnection,2,0
4880162,put,"Map<String,OServerSocketFactory>",(Ljava/lang/String;Lcom/orientechnologies/orient/server/network/OServerSocketFactory;)Lcom/orientechnologies/orient/server/network/OServerSocketFactory;,OServerSocketFactory,2,0
4880162,put,"Map<ODistributedRequestId,ODistributedTxContext>",(Lcom/orientechnologies/orient/server/distributed/ODistributedRequestId;Lcom/orientechnologies/orient/server/distributed/ODistributedTxContext;)Lcom/orientechnologies/orient/server/distributed/ODistributedTxContext;,ODistributedTxContext,2,0
4880162,put,"ConcurrentHashMap<String,ODistributedDatabaseImpl>",(Ljava/lang/String;Lcom/orientechnologies/orient/server/distributed/impl/ODistributedDatabaseImpl;)Lcom/orientechnologies/orient/server/distributed/impl/ODistributedDatabaseImpl;,ODistributedDatabaseImpl,2,0
4880162,put,"Map<ORecordId,ORecord>",(Lcom/orientechnologies/orient/core/id/ORecordId;Lcom/orientechnologies/orient/core/record/ORecord;)Lcom/orientechnologies/orient/core/record/ORecord;,ORecord,2,0
4880162,put,"Map<Long,CustomType>",(Ljava/lang/Long;Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTest$CustomType;)Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTest$CustomType;,CustomType,2,0
4880162,put,"Map<Long,CustomType>",(Ljava/lang/Long;Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTest$CustomType;)Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTest$CustomType;,CustomType,2,1
4880162,put,"Map<Long,CustomType>",(Ljava/lang/Long;Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTestSchemaFull$CustomType;)Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTestSchemaFull$CustomType;,CustomType,2,0
4880162,put,"Map<Long,CustomType>",(Ljava/lang/Long;Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTestSchemaFull$CustomType;)Lcom/orientechnologies/orient/test/database/auto/ObjectTreeTestSchemaFull$CustomType;,CustomType,2,1
